onset	duration	trial_type	load_type	processing_stage
1.075	4.023	Num	High	Cue
5.098	10.04	Num	High	Encode
15.138	10.002	Num	High	Maintain
25.14	6.311	Num	High	Probe
31.451	10.891	Num	High	Rest
42.342	4.582	Frac	High	Cue
46.924	10.036	Frac	High	Encode
56.96	10.015	Frac	High	Maintain
66.975	4.15	Frac	High	Probe
71.125	10.841	Frac	High	Rest
81.966	3.077	Frac	Med	Cue
85.043	10.034	Frac	Med	Encode
95.077	10.001	Frac	Med	Maintain
105.078	3.158	Frac	Med	Probe
108.236	10.842	Frac	Med	Rest
119.078	3.222	Num	Med	Cue
122.3	10.034	Num	Med	Encode
132.334	10.046	Num	Med	Maintain
142.38	4.433	Num	Med	Probe
146.813	10.774	Num	Med	Rest
157.587	3.854	Pos	High	Cue
161.441	10.024	Pos	High	Encode
171.465	10	Pos	High	Maintain
181.465	6.546	Pos	High	Probe
188.011	10.797	Pos	High	Rest
198.808	3.162	Pos	Low	Cue
201.97	10.044	Pos	Low	Encode
212.014	10.031	Pos	Low	Maintain
222.045	3.831	Pos	Low	Probe
225.876	10.888	Pos	Low	Rest
236.764	3.17	Num	Low	Cue
239.934	10.01	Num	Low	Encode
249.944	10	Num	Low	Maintain
259.944	3.238	Num	Low	Probe
263.182	10.844	Num	Low	Rest
274.026	3.157	Pos	Med	Cue
277.183	10.035	Pos	Med	Encode
287.218	10	Pos	Med	Maintain
297.218	4.76	Pos	Med	Probe
301.978	10.828	Pos	Med	Rest
312.806	3.25	Frac	Low	Cue
316.056	10.044	Frac	Low	Encode
326.1	10	Frac	Low	Maintain
336.1	5.105	Frac	Low	Probe
341.205	9.642	Frac	Low	Rest
350.847	3.49	Frac	High	Cue
354.337	10.041	Frac	High	Encode
364.378	10.002	Frac	High	Maintain
374.38	7.196	Frac	High	Probe
381.576	10.853	Frac	High	Rest
392.429	3.311	Num	Low	Cue
395.74	10.04	Num	Low	Encode
405.78	10.048	Num	Low	Maintain
415.828	2.656	Num	Low	Probe
418.484	10.866	Num	Low	Rest
429.35	4.67	Pos	High	Cue
434.02	10.041	Pos	High	Encode
444.061	10.001	Pos	High	Maintain
454.062	4.2	Pos	High	Probe
458.262	10.837	Pos	High	Rest
469.099	3.09	Num	Med	Cue
472.189	10.009	Num	Med	Encode
482.198	10	Num	Med	Maintain
492.198	4.064	Num	Med	Probe
496.262	10.715	Num	Med	Rest
506.977	3.13	Pos	Low	Cue
510.107	10.009	Pos	Low	Encode
520.116	10.001	Pos	Low	Maintain
530.117	3.417	Pos	Low	Probe
533.534	10.852	Pos	Low	Rest
544.386	3.17	Frac	Low	Cue
547.556	10.01	Frac	Low	Encode
557.566	10.048	Frac	Low	Maintain
567.614	3.423	Frac	Low	Probe
571.037	10.829	Frac	Low	Rest
581.866	3.311	Pos	Med	Cue
585.177	10.039	Pos	Med	Encode
595.216	10.049	Pos	Med	Maintain
605.265	4.081	Pos	Med	Probe
609.346	10.831	Pos	Med	Rest
620.177	3.16	Frac	Med	Cue
623.337	10.034	Frac	Med	Encode
633.371	10.002	Frac	Med	Maintain
643.373	4.762	Frac	Med	Probe
648.135	10.868	Frac	Med	Rest
659.003	3.24	Num	High	Cue
662.243	10.04	Num	High	Encode
672.283	10.001	Num	High	Maintain
682.284	6.671	Num	High	Probe
688.955	10	Num	High	Rest
