onset	duration	trial_type	load_type	processing_stage
1.091	3.08	Frac	High	Cue
4.171	10.054	Frac	High	Encode
14.225	10.031	Frac	High	Maintain
24.256	4.691	Frac	High	Probe
28.947	10.808	Frac	High	Rest
39.755	3.081	Frac	Med	Cue
42.836	10.007	Frac	Med	Encode
52.843	10.047	Frac	Med	Maintain
62.89	4.838	Frac	Med	Probe
67.728	10.785	Frac	Med	Rest
78.513	4.042	Num	High	Cue
82.555	10.035	Num	High	Encode
92.59	9.999	Num	High	Maintain
102.589	6.69	Num	High	Probe
109.279	10.81	Num	High	Rest
120.089	3.24	Num	Low	Cue
123.329	10.041	Num	Low	Encode
133.37	10.048	Num	Low	Maintain
143.418	5.139	Num	Low	Probe
148.557	10.806	Num	Low	Rest
159.363	3.4	Frac	Low	Cue
162.763	10.057	Frac	Low	Encode
172.82	10	Frac	Low	Maintain
182.82	4.307	Frac	Low	Probe
187.127	10.798	Frac	Low	Rest
197.925	3.44	Pos	High	Cue
201.365	10.04	Pos	High	Encode
211.405	10.048	Pos	High	Maintain
221.453	4.434	Pos	High	Probe
225.887	10.889	Pos	High	Rest
236.776	3.09	Pos	Med	Cue
239.866	10.039	Pos	Med	Encode
249.905	10.049	Pos	Med	Maintain
259.954	6.341	Pos	Med	Probe
266.295	10.846	Pos	Med	Rest
277.141	3.22	Pos	Low	Cue
280.361	10.01	Pos	Low	Encode
290.371	10.031	Pos	Low	Maintain
300.402	5.672	Pos	Low	Probe
306.074	10.82	Pos	Low	Rest
316.894	3.09	Num	Med	Cue
319.984	10.044	Num	Med	Encode
330.028	10	Num	Med	Maintain
340.028	6.828	Num	Med	Probe
346.856	9.593	Num	Med	Rest
356.449	3.992	Frac	High	Cue
360.441	10.02	Frac	High	Encode
370.461	10.062	Frac	High	Maintain
380.523	4.838	Frac	High	Probe
385.361	10.768	Frac	High	Rest
396.129	3.396	Num	High	Cue
399.525	10.031	Num	High	Encode
409.556	10	Num	High	Maintain
419.556	5.236	Num	High	Probe
424.792	10.836	Num	High	Rest
435.628	3.09	Frac	Med	Cue
438.718	10.044	Frac	Med	Encode
448.762	10	Frac	Med	Maintain
458.762	4.324	Frac	Med	Probe
463.086	10.8	Frac	Med	Rest
473.886	3.13	Pos	Med	Cue
477.016	10.01	Pos	Med	Encode
487.026	10	Pos	Med	Maintain
497.026	3.667	Pos	Med	Probe
500.693	10.826	Pos	Med	Rest
511.519	3.11	Pos	Low	Cue
514.629	10.007	Pos	Low	Encode
524.636	10	Pos	Low	Maintain
534.636	4.969	Pos	Low	Probe
539.605	10.838	Pos	Low	Rest
550.443	3.191	Num	Low	Cue
553.634	10.058	Num	Low	Encode
563.692	10	Num	Low	Maintain
573.692	8.529	Num	Low	Probe
582.221	10.882	Num	Low	Rest
593.103	3.081	Num	Med	Cue
596.184	10.009	Num	Med	Encode
606.193	10.001	Num	Med	Maintain
616.194	4.997	Num	Med	Probe
621.191	10.87	Num	Med	Rest
632.061	3.542	Pos	High	Cue
635.603	10.009	Pos	High	Encode
645.612	10.001	Pos	High	Maintain
655.613	5.744	Pos	High	Probe
661.357	10.838	Pos	High	Rest
672.195	3.304	Frac	Low	Cue
675.499	10.033	Frac	Low	Encode
685.532	10.002	Frac	Low	Maintain
695.534	10.012	Frac	Low	Probe
705.546	10	Frac	Low	Rest
