onset	duration	trial_type	load_type	processing_stage
1.081	3.98	Frac	High	Cue
5.061	10.041	Frac	High	Encode
15.102	10.046	Frac	High	Maintain
25.148	4.845	Frac	High	Probe
29.993	10.821	Frac	High	Rest
40.814	3.11	Frac	Low	Cue
43.924	10.007	Frac	Low	Encode
53.931	10.046	Frac	Low	Maintain
63.977	2.929	Frac	Low	Probe
66.906	10.824	Frac	Low	Rest
77.73	3.08	Num	Med	Cue
80.81	10.032	Num	Med	Encode
90.842	10.002	Num	Med	Maintain
100.844	3.85	Num	Med	Probe
104.694	10.823	Num	Med	Rest
115.517	3.08	Pos	Med	Cue
118.597	10.058	Pos	Med	Encode
128.655	10	Pos	Med	Maintain
138.655	2.833	Pos	Med	Probe
141.488	10.773	Pos	Med	Rest
152.261	3.17	Pos	Low	Cue
155.431	10.058	Pos	Low	Encode
165.489	10	Pos	Low	Maintain
175.489	2.863	Pos	Low	Probe
178.352	10.825	Pos	Low	Rest
189.177	3.091	Frac	Med	Cue
192.268	10.044	Frac	Med	Encode
202.312	9.999	Frac	Med	Maintain
212.311	3.974	Frac	Med	Probe
216.285	10.81	Frac	Med	Rest
227.095	3.17	Num	High	Cue
230.265	10.057	Num	High	Encode
240.322	10	Num	High	Maintain
250.322	4.949	Num	High	Probe
255.271	10.823	Num	High	Rest
266.094	3.392	Pos	High	Cue
269.486	10.024	Pos	High	Encode
279.51	10.001	Pos	High	Maintain
289.511	4.318	Pos	High	Probe
293.829	10.856	Pos	High	Rest
304.685	3.13	Num	Low	Cue
307.815	10.007	Num	Low	Encode
317.822	10.03	Num	Low	Maintain
327.852	2.863	Num	Low	Probe
330.715	9.603	Num	Low	Rest
340.318	4.391	Frac	High	Cue
344.709	10.02	Frac	High	Encode
354.729	10.062	Frac	High	Maintain
364.791	4.45	Frac	High	Probe
369.241	10.788	Frac	High	Rest
380.029	3.09	Num	Low	Cue
383.119	10.026	Num	Low	Encode
393.145	10.001	Num	Low	Maintain
403.146	2.386	Num	Low	Probe
405.532	10.833	Num	Low	Rest
416.365	3.08	Pos	Med	Cue
419.445	10.034	Pos	Med	Encode
429.479	10.008	Pos	Med	Maintain
439.487	2.899	Pos	Med	Probe
442.386	10.846	Pos	Med	Rest
453.232	3.37	Frac	Low	Cue
456.602	10.041	Frac	Low	Encode
466.643	10.047	Frac	Low	Maintain
476.69	1.742	Frac	Low	Probe
478.432	10.834	Frac	Low	Rest
489.266	3.08	Pos	Low	Cue
492.346	10.004	Pos	Low	Encode
502.35	10.03	Pos	Low	Maintain
512.38	2.023	Pos	Low	Probe
514.403	10.811	Pos	Low	Rest
525.214	4.243	Num	High	Cue
529.457	10.024	Num	High	Encode
539.481	10	Num	High	Maintain
549.481	5.073	Num	High	Probe
554.554	10.812	Num	High	Rest
565.366	3.594	Pos	High	Cue
568.96	10.019	Pos	High	Encode
578.979	10.002	Pos	High	Maintain
588.981	2.914	Pos	High	Probe
591.895	10.836	Pos	High	Rest
602.731	3.09	Frac	Med	Cue
605.821	10.056	Frac	Med	Encode
615.877	10.001	Frac	Med	Maintain
625.878	3.059	Frac	Med	Probe
628.937	10.794	Frac	Med	Rest
639.731	3.09	Num	Med	Cue
642.821	10.057	Num	Med	Encode
652.878	10	Num	Med	Maintain
662.878	4.619	Num	Med	Probe
667.497	10	Num	Med	Rest
